Place ID,Name,Latitude,Longitude,Category,Rating,Number of Reviews,Business Status,Google Maps URL
N/A,Shawaya House,26.272347,50.1951582,restaurant,3.8,1809,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,‏سمبوسة الشرق الاوسط الثقبة الخبر,26.2782168,50.1908089,restaurant,4.1,351,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,مطعم مورغي,26.278467,50.1831141,restaurant,4.2,277,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Fillfilah فلفلة,26.269261999999998,50.189322999999995,restaurant,3.4,1925,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Rummaan Hyderabadi Restaurant - Thoqba,26.277554100000003,50.1932628,restaurant,3.8,221,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,GRILL MEAL RESTAURANT THOUQBHA,26.274615299999997,50.1921146,restaurant,3.8,427,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Al HABIB RESTAURANT,26.271912999999998,50.1932652,restaurant,4.1,222,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Lahza shawarma,26.269518200000004,50.191093699999996,restaurant,3.9,970,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Shwaiat Al-Khalij,26.2783119,50.190163,restaurant,4.2,73,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Aleppo Castle Restaurant,26.272636,50.199097099999996,restaurant,4.1,1296,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Al Rukun Al Tazaj,26.270007399999997,50.1916164,restaurant,4.3,1076,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,مطعم الرغيف مصرى,26.2752283,50.190508099999995,restaurant,3.8,164,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Dugheither Leisure Island,26.2724065,50.2206811,restaurant,4.4,3316,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Golden Gate Restaurant Alkhobar Corniche مطعم جولدن جيت الخبر كورنيش,26.2722142,50.2155474,restaurant,4.3,3327,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Palm Grove Restaurant,26.2771936,50.2121219,restaurant,3.9,1652,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Peshawari Kabab House,26.272206699999998,50.194554499999995,restaurant,4.2,5120,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Sun Room Cafe & Restaurant,26.272147699999998,50.2211776,restaurant,3.7,4253,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Raising Cane's,26.268501500000003,50.2162229,restaurant,4.6,2422,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Karam Beirut - Al Khobar,26.2723521,50.2211958,restaurant,4.2,6236,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Salkara Family Restaurant,26.278311,50.203666899999995,restaurant,4,3257,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Shalimar Restaurant,26.2760473,50.210731700000004,restaurant,4.1,4180,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Shekhdar,26.2724916,50.2161857,restaurant,4.6,1333,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Raye Mashwyat / Grill Patron,26.2693907,50.2068115,restaurant,4.4,5161,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Shawaya House,26.272347,50.1951582,restaurant,3.8,1809,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,مطعم باجه وكباب عراقي الخبر,26.271172699999997,50.210924000000006,restaurant,3.9,580,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,McDonald's,26.266576999999998,50.212969,restaurant,3.8,2118,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Brasa De Brazil Khobar,26.272020299999998,50.2205671,restaurant,4.2,5165,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,South Street Restaurant,26.274314999999998,50.2155031,restaurant,4.3,386,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Sanbok Restaurant,26.2718302,50.2207358,restaurant,3.7,3637,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Taj al Hind Bollywood Kitchen,26.2668778,50.2127616,restaurant,4.8,4594,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Egah Restaurant & Cafe - مطعم ايجه,26.2717584,50.2209392,restaurant,4.1,593,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Anjappar Indian Restaurant - Khobar,26.2698125,50.2163125,restaurant,3.7,1375,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Oriya,26.2558523,50.2210788,restaurant,4,3711,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Dugheither Leisure Island,26.2724065,50.2206811,restaurant,4.4,3316,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Blue Garden Restaurant Khobar,26.2551003,50.221004,restaurant,4.1,11005,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Golden Gate Restaurant Alkhobar Corniche مطعم جولدن جيت الخبر كورنيش,26.2722142,50.2155474,restaurant,4.3,3327,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Sun Room Cafe & Restaurant,26.272147699999998,50.2211776,restaurant,3.7,4253,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Raising Cane's,26.268501500000003,50.2162229,restaurant,4.6,2422,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Karam Beirut - Al Khobar,26.2723521,50.2211958,restaurant,4.2,6236,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Chef Eyad Khobar,26.255573199999997,50.2210499,restaurant,4.6,3674,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Shekhdar,26.2724916,50.2161857,restaurant,4.6,1333,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Brasa De Brazil Khobar,26.272020299999998,50.2205671,restaurant,4.2,5165,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,McDonald's,26.266576999999998,50.212969,restaurant,3.8,2118,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Melrose Lounge,26.276768699999998,50.2199774,restaurant,4.6,1667,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Como Seafood Restaurant,26.278237299999997,50.218970899999995,restaurant,4.1,3898,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Sanbok Restaurant,26.2718302,50.2207358,restaurant,3.7,3637,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Egah Restaurant & Cafe - مطعم ايجه,26.2717584,50.2209392,restaurant,4.1,593,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,South Street Restaurant,26.274314999999998,50.2155031,restaurant,4.3,386,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,ceasario,26.255441599999997,50.220722599999995,restaurant,4,875,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Taj al Hind Bollywood Kitchen,26.2668778,50.2127616,restaurant,4.8,4594,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Anjappar Indian Restaurant - Khobar,26.2698125,50.2163125,restaurant,3.7,1375,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Golden Juice,26.2700575,50.212534899999994,restaurant,4,2110,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Our Hamat transportation company.,26.2738616,49.9882795,restaurant,4.4,39,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,ميز وحدات المنطقة والقاعدة,26.292811999999998,50.017777699999996,restaurant,4.3,4,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Restaurant and Mandi Rehab,26.296407,50.034987699999995,restaurant,3.8,1725,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,مطعم أبو الطيب ( فرع جبرين) Abu Tayeb Restaurant ( branch of Gabrin),26.2950627,50.034230699999995,restaurant,3.8,427,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,ALKARAK,26.2958212,50.03428840000001,restaurant,3.9,649,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Herfy,26.2949657,50.0346039,restaurant,2.8,264,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,كبدة عزام,26.295360700000003,50.0341051,restaurant,4.1,121,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Barn's | بارنز,26.2954097,50.0356568,restaurant,3.6,26,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,البيتزا الحاره Pizza hot,26.2953886,50.0341117,restaurant,4.4,149,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Wasam Buffet,26.2957172,50.034253199999995,restaurant,3.7,86,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,بخاري بالخمس,26.2950129,50.0344185,restaurant,3.8,48,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,فوال تمیس Breakfast Center,26.2953166,50.034098199999995,restaurant,3.7,48,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,ميز وحدات المنطقة والقاعدة,26.292811999999998,50.017777699999996,restaurant,4.3,4,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,TastiestDish,26.284738599999997,50.060786900000004,restaurant,4.3,314,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,شركة ألذ طبق لتقديم الوجبات شركة شخص واحد,26.2847334,50.0607544,restaurant,4.6,84,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,بوفية عبدالله مطيلق العتيبي,26.2843805,50.0603129,restaurant,3.5,46,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,مطعم احلا الايام لتقديم الوجبات,26.284519799999998,50.0611819,restaurant,3.3,9,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,TastiestDish,26.284738599999997,50.060786900000004,restaurant,4.3,314,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,شركة ألذ طبق لتقديم الوجبات شركة شخص واحد,26.2847334,50.0607544,restaurant,4.6,84,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,بوفية عبدالله مطيلق العتيبي,26.2843805,50.0603129,restaurant,3.5,46,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,مطعم احلا الايام لتقديم الوجبات,26.284519799999998,50.0611819,restaurant,3.3,9,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Casapasta | كازاباستا,26.289813499999998,50.100793200000005,restaurant,4.5,137,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,The Club Club ذا كلوب كلوب,26.2897538,50.100772299999996,restaurant,4.3,60,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Ronaldo’s Pizza رونالدوز بيتزا,26.289870099999998,50.100784999999995,restaurant,4.1,40,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Dhahran Hills Snack Bar,26.2910605,50.1057303,restaurant,3.8,72,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Jebel Heights Food Court,26.289821099999998,50.100757599999994,restaurant,3.7,7,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,عريكة أركان الديرة,26.284765399999998,50.1329898,restaurant,4.1,131,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,بوفيه البنوك,26.284483899999998,50.133044,restaurant,3.8,18,OPERATIONAL,https://maps.google.com/?cid=N/A
