ID,Name,Latitude,Longitude,Category,Rating,Number of Reviews,Business Status
211,Kufa,26.3003292,50.1484667,restaurant,4.2,3233,OPERATIONAL
212,Students Restaurant,26.3104931,50.1446043,restaurant,3.9,860,OPERATIONAL
213,Tim Hortons,26.309983300000003,50.1366531,restaurant,4.4,125,OPERATIONAL
214,Freshhouse فريش هاوس,26.311578,50.1362658,restaurant,4.4,57,OPERATIONAL
215,Malama,26.3109887,50.1316888,restaurant,4.4,5,OPERATIONAL
216,Pua Pua,26.3005041,50.1488063,restaurant,4.4,14,OPERATIONAL
217,مطعم شاشليك,26.30027,50.148488,restaurant,4,84,OPERATIONAL
218,McDonald’s,26.314404,50.147499,restaurant,2.9,93,OPERATIONAL
219,Shatiraty,26.3138143,50.1477411,restaurant,4,176,OPERATIONAL
220,منؤشة الريف,26.314077500000003,50.148084100000005,restaurant,3.9,246,OPERATIONAL
221,The Crêpe Café,26.305668,50.167887,restaurant,3.9,719,OPERATIONAL
222,Noodlez,26.3034304,50.1686582,restaurant,4,158,OPERATIONAL
223,Burger King - KFU,26.31411,50.14794,restaurant,3.6,183,OPERATIONAL
224,Shawarma Guys,26.3139373,50.1476231,restaurant,3.8,265,OPERATIONAL
225,New York Fries,26.3034304,50.1686582,restaurant,2.4,61,OPERATIONAL
226,Al Jabal Restaurant,26.3064904,50.1447235,restaurant,4.7,7,OPERATIONAL
227,Best Falafel,26.314024,50.147507,restaurant,3.2,108,OPERATIONAL
228,مطعم الطالبات,26.3002887,50.1483306,restaurant,No rating,No reviews,OPERATIONAL
229,Imza,26.3139093,50.1476965,restaurant,3.8,24,OPERATIONAL
230,Bait Tunur,26.3003376,50.1482967,restaurant,4,5,OPERATIONAL
231,لقمة زاد,26.3136472,50.148443,restaurant,3.2,23,OPERATIONAL
232,Albaik,26.3088308,50.1738323,restaurant,3.7,1680,OPERATIONAL
233,Parker's,26.3072878,50.1782967,restaurant,4,8824,OPERATIONAL
234,BLANCA بلانكا,26.3059251,50.1832442,restaurant,4.5,4393,OPERATIONAL
235,Zad al sultan,26.2981945,50.1799635,restaurant,4.5,1633,OPERATIONAL
236,Al Rafidain,26.2992785,50.1755372,restaurant,4.5,2812,OPERATIONAL
