Place ID,Name,Latitude,Longitude,Category,Rating,Number of Reviews,Business Status,Google Maps URL
N/A,Barn's | بارنز,26.2935069,50.1720541,cafe,4.1,55,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,7 Grams - Alrashid Mall | ٧ جرام - الراشد مول,26.2912431,50.1807662,cafe,4.4,679,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Rosalie Cafe,26.290518799999997,50.177732299999995,cafe,4.5,448,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,GLĀDIO CAFÉ,26.291323499999997,50.180337699999995,cafe,4.6,129,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Cinnabon,26.286915,50.18391,cafe,3.3,113,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Konafa golden crown,26.280672,50.1823043,cafe,4.1,266,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,مقهى ديوانية هجر,26.283941199999997,50.1815338,cafe,3.8,261,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Starbucks,26.2913075,50.1809882,cafe,4,523,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Costa Coffee,26.289806,50.181025999999996,cafe,4.6,366,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,مقهى ليالي امدر,26.278408499999998,50.183892,cafe,4.2,41,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Equal,26.2906576,50.1769855,cafe,4.7,20,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,ماما بنز كافيه | MammaBunz Cafe‏,26.286500099999998,50.183899999999994,cafe,4.1,207,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Krispy Kreme,26.2913662,50.1805928,cafe,4.3,70,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Al Zawiya Al Shobeya Coffee Shop,26.2781563,50.184041,cafe,4,33,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Al Rashid Mall,26.2908311,50.1805653,cafe,4.3,50912,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Madina Restaurant,26.288042299999997,50.188332599999995,cafe,3.9,9057,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,ديلي كب Daily cup,26.277147,50.183707399999996,cafe,4.5,102,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Sip Day speciality coffeee,26.278593599999997,50.1830973,cafe,4.7,448,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,مقهي ومحمصه الواحه - Oasis Cafe Roastery,26.2820048,50.201934699999995,cafe,4.5,1589,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Starbucks,26.290395699999998,50.1873237,cafe,4,188,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Dunkin' - دانكن,26.29086,50.181264,cafe,4,506,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Black Horse Cafe,26.291453999999998,50.182314899999994,cafe,4.5,260,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Tea Muhabath Resto cafe,26.293282200000004,50.1946282,cafe,4.5,163,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Golden Tea,26.2845043,50.1905563,cafe,4,69,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,شاي فرس,26.294473800000002,50.1971796,cafe,4.6,239,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,ديوانية قدوع للشاي والقهوة,26.284278399999998,50.189094999999995,cafe,4.1,417,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,7 Grams - Alrashid Mall | ٧ جرام - الراشد مول,26.2912431,50.1807662,cafe,4.4,679,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Golden Tea كرك الذهبي,26.2761413,50.1923933,cafe,4.2,30,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,استكانه 4,26.284086799999997,50.2041239,cafe,4.5,145,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Rosalie Cafe,26.290518799999997,50.177732299999995,cafe,4.5,448,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,مقهى بساطة coffee Basata,26.2847233,50.196039199999994,cafe,4.8,169,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,انليش | Unleash,26.2813794,50.2004297,cafe,4.7,167,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Krispy Kreme,26.2835625,50.1971875,cafe,4.2,242,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,GLĀDIO CAFÉ,26.291323499999997,50.180337699999995,cafe,4.6,129,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,ZOLIEA,26.2979324,50.2099036,cafe,4.5,1629,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,فرن ليلى,26.2930699,50.2185376,cafe,4.6,664,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Cay,26.2820969,50.222144400000005,cafe,4.3,1257,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,بلما | Blma,26.2894354,50.218083899999996,cafe,4.6,879,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,SAJE cafe | سيج,26.291943699999997,50.2085989,cafe,4.5,464,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,مقهى طرف,26.2927808,50.2187689,cafe,4.5,360,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,SOIR CAFÉ,26.282118699999998,50.222020699999995,cafe,4,1208,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,ديلي كب Daily cup,26.294127200000002,50.2170997,cafe,4.6,128,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Tea Time,26.2825825,50.217741399999994,cafe,4.2,3094,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Qaf Coffee Roasters -Ajdan : محمصة ومقهى قاف - اجدان,26.2829739,50.2204568,cafe,4.4,922,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Slope Roastery,26.2907142,50.2161203,cafe,4.8,246,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Dunkin' - دانكن,26.2784375,50.218062499999995,cafe,4.1,1924,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,MOUND,26.2920621,50.2083507,cafe,4.1,334,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Mawoud,26.2883756,50.217900099999994,cafe,4.6,625,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Lounge shesha shisha hookah hooka مقهى لاونج غصن الرمان لاونج شيشة شيشه كافيهGhosen اقرب مكان شيشة افضل مكان شيشة,26.295282699999998,50.201301,cafe,4.5,260,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Starbucks,26.288271299999998,50.2161335,cafe,4.5,507,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,مقهي ومحمصه الواحه - Oasis Cafe Roastery,26.2820048,50.201934699999995,cafe,4.5,1589,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Mantorose Cafe,26.281648099999998,50.222423,cafe,4,408,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Oasis cafe & Club,26.2892972,50.216491100000006,cafe,3.8,722,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Hiqbah Roasters - محمصة و مقهى حقبة,26.281724999999998,50.2130017,cafe,4.9,262,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Half Million,26.295082999999998,50.220759,cafe,4.4,4780,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,فرن ليلى,26.2930699,50.2185376,cafe,4.6,664,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Cay,26.2820969,50.222144400000005,cafe,4.3,1257,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,بلما | Blma,26.2894354,50.218083899999996,cafe,4.6,879,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Sun Room Cafe & Restaurant,26.272147699999998,50.2211776,cafe,3.7,4253,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,مقهى طرف,26.2927808,50.2187689,cafe,4.5,360,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,SULTAN LOUNGE & CAFE,26.2940795,50.2203355,cafe,4,1221,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,SOIR CAFÉ,26.282118699999998,50.222020699999995,cafe,4,1208,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Line Espresso Bar & Roastery,26.2958954,50.2190825,cafe,4.5,1029,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Tea Time,26.2825825,50.217741399999994,cafe,4.2,3094,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,ديلي كب Daily cup,26.294127200000002,50.2170997,cafe,4.6,128,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Qaf Coffee Roasters -Ajdan : محمصة ومقهى قاف - اجدان,26.2829739,50.2204568,cafe,4.4,922,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Slope Roastery,26.2907142,50.2161203,cafe,4.8,246,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Dunkin' - دانكن,26.2784375,50.218062499999995,cafe,4.1,1924,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Mantorose Cafe,26.281648099999998,50.222423,cafe,4,408,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Mawoud,26.2883756,50.217900099999994,cafe,4.6,625,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Starbucks,26.288271299999998,50.2161335,cafe,4.5,507,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,مطل مقابل اجدان رايز,26.2820555,50.2219944,cafe,4.8,61,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Gladio Cafe - جلاديو كافيه,26.2959257,50.219089,cafe,4.9,498,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Oasis cafe & Club,26.2892972,50.216491100000006,cafe,3.8,722,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,24Cafe,26.295045599999998,50.0353552,cafe,4.4,246,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Barn's | بارنز,26.2954097,50.0356568,cafe,3.6,26,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Derby Cafe,26.295232300000002,50.0355181,cafe,3.8,330,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,ديوانية الكيف,26.295360700000003,50.0341051,cafe,3,3,OPERATIONAL,https://maps.google.com/?cid=N/A
