Unnamed: 0,main_id,gid,level,area,population_count,population_male_count,population_female_count,population_density_km2,median_age,male_median_age,female_medium_age,geometry_region,geometry,centroid,inside_city
61630,718657,12341432133332,14,400 meters x 400 meters,47,,,293.8,38,,,"[[[49.953856561622096, 26.345740086621557], [49.95744982275857, 26.345740086621557], [49.95744982275857, 26.342520003963802], [49.953856561622096, 26.342520003963802], [49.953856561622096, 26.345740086621557]]]","POLYGON ((49.953856561622096 26.345740086621557, 49.95744982275857 26.345740086621557, 49.95744982275857 26.342520003963802, 49.953856561622096 26.342520003963802, 49.953856561622096 26.345740086621557))",POINT (49.955653192190326 26.344130045292676),True
61636,716363,12341414441312,14,400 meters x 400 meters,331,165.0,166.0,2068.8,31,31.0,31.0,"[[[50.12633309617304, 26.480902537483892], [50.129926357309515, 26.480902537483892], [50.129926357309515, 26.477686225428865], [50.12633309617304, 26.477686225428865], [50.12633309617304, 26.480902537483892]]]","POLYGON ((50.12633309617304 26.480902537483892, 50.129926357309515 26.480902537483892, 50.129926357309515 26.477686225428865, 50.12633309617304 26.477686225428865, 50.12633309617304 26.480902537483892))",POINT (50.128129726741285 26.479294381456377),True
61646,713521,12341432143441,14,400 meters x 400 meters,14,,,87.5,40,,,"[[[50.02931504548813, 26.345740086621557], [50.032908306624606, 26.345740086621557], [50.032908306624606, 26.342520003963802], [50.02931504548813, 26.342520003963802], [50.02931504548813, 26.345740086621557]]]","POLYGON ((50.02931504548813 26.345740086621557, 50.032908306624606 26.345740086621557, 50.032908306624606 26.342520003963802, 50.02931504548813 26.342520003963802, 50.02931504548813 26.345740086621557))",POINT (50.03111167605636 26.344130045292676),True
61647,713955,12341432414411,14,400 meters x 400 meters,292,178.0,114.0,1825.0,39,39.0,38.0,"[[[50.10836679049065, 26.300650777553553], [50.11196005162713, 26.300650777553553], [50.11196005162713, 26.297429441032612], [50.10836679049065, 26.297429441032612], [50.10836679049065, 26.300650777553553]]]","POLYGON ((50.10836679049065 26.300650777553553, 50.11196005162713 26.300650777553553, 50.11196005162713 26.297429441032612, 50.10836679049065 26.297429441032612, 50.10836679049065 26.300650777553553))",POINT (50.110163421058886 26.29904010929308),True
61648,713962,12341441311141,14,400 meters x 400 meters,1209,936.0,273.0,7556.3,37,38.0,28.0,"[[[50.187418535493165, 26.33285921835164], [50.191011796629645, 26.33285921835164], [50.191011796629645, 26.329638777293553], [50.187418535493165, 26.329638777293553], [50.187418535493165, 26.33285921835164]]]","POLYGON ((50.187418535493165 26.33285921835164, 50.191011796629645 26.33285921835164, 50.191011796629645 26.329638777293553, 50.187418535493165 26.329638777293553, 50.187418535493165 26.33285921835164))",POINT (50.1892151660614 26.331248997822595),True
61649,713963,12341432133132,14,400 meters x 400 meters,394,267.0,127.0,2462.5,28,30.0,23.0,"[[[49.953856561622096, 26.358619520983073], [49.95744982275857, 26.358619520983073], [49.95744982275857, 26.355399796848463], [49.953856561622096, 26.355399796848463], [49.953856561622096, 26.358619520983073]]]","POLYGON ((49.953856561622096 26.358619520983073, 49.95744982275857 26.358619520983073, 49.95744982275857 26.355399796848463, 49.953856561622096 26.355399796848463, 49.953856561622096 26.358619520983073))",POINT (49.955653192190326 26.35700965891577),True
61660,715955,12341432214241,14,400 meters x 400 meters,570,347.0,223.0,3562.5,33,34.0,33.0,"[[[50.11555331276361, 26.410122909528308], [50.11914657390008, 26.410122909528308], [50.11914657390008, 26.406904620712886], [50.11555331276361, 26.406904620712886], [50.11555331276361, 26.410122909528308]]]","POLYGON ((50.11555331276361 26.410122909528308, 50.11914657390008 26.410122909528308, 50.11914657390008 26.406904620712886, 50.11555331276361 26.406904620712886, 50.11555331276361 26.410122909528308))",POINT (50.11734994333184 26.4085137651206),True
61661,715957,12341432344333,14,400 meters x 400 meters,125,100.0,25.0,781.3,36,37.0,34.0,"[[[50.036501567761086, 26.239430085937908], [50.040094828897566, 26.239430085937908], [50.040094828897566, 26.236207050158757], [50.036501567761086, 26.236207050158757], [50.036501567761086, 26.239430085937908]]]","POLYGON ((50.036501567761086 26.239430085937908, 50.040094828897566 26.239430085937908, 50.040094828897566 26.236207050158757, 50.036501567761086 26.236207050158757, 50.036501567761086 26.239430085937908))",POINT (50.03829819832933 26.23781856804833),True
61677,713527,12341432244244,14,400 meters x 400 meters,152,75.0,77.0,950.0,35,36.0,35.0,"[[[50.17663875208373, 26.355399796848463], [50.18023201322021, 26.355399796848463], [50.18023201322021, 26.35217998307157], [50.17663875208373, 26.35217998307157], [50.17663875208373, 26.355399796848463]]]","POLYGON ((50.17663875208373 26.355399796848463, 50.18023201322021 26.355399796848463, 50.18023201322021 26.35217998307157, 50.17663875208373 26.35217998307157, 50.17663875208373 26.355399796848463))",POINT (50.17843538265197 26.353789889960016),True
61692,730975,12341443131114,14,400 meters x 400 meters,381,231.0,150.0,2381.3,28,30.0,24.0,"[[[50.183825274356685, 26.1814017765199], [50.187418535493165, 26.1814017765199], [50.187418535493165, 26.178177133488216], [50.183825274356685, 26.178177133488216], [50.183825274356685, 26.1814017765199]]]","POLYGON ((50.183825274356685 26.1814017765199, 50.187418535493165 26.1814017765199, 50.187418535493165 26.178177133488216, 50.183825274356685 26.178177133488216, 50.183825274356685 26.1814017765199))",POINT (50.18562190492492 26.179789455004055),True
