POI Name,POI Latitude,POI Longitude,Category,Rating,Popularity
مقهى ديوانية كيف النشاما,26.356911,50.060981,Coffee Shop,7.9,0.9737024723197548
مقهى بوهيثم,26.364224,50.028799,Café,7.3,0.996840422557918
Starbucks (ستاربكس),26.396443,50.043428,Coffee Shop,7.9,0.9991921200633876
Sever,26.369747,50.057648,Coffee Shop,7.6,0.8763115102176097
blue star Cafe,26.392161,50.037537,Café,7.4,0.98891754445929
Mêler Bakery & Coffee,26.378166,50.058582,Coffee Shop,7.3,0.944794870998146
Bogotá Café,26.349178,50.01883,Coffee Shop,7.3,0.9893629141679354
Cafanna,26.438299,50.056284,Café,6.7,0.8708220696226786
قهوة الديوانيه,26.436835,50.054243,Café,6.6,0.9022465276698878
Sweet Evolution,26.431205,50.041103,Coffee Shop,,0.4283006556256408
Damnam,26.429645,50.040476,Café,,0.3341204983997762
Wacafe,26.429634,50.0406,Coffee Shop,,0.8974717500958063
Noimi Coffee,26.424784,50.024794,Coffee Shop,,0.9535246094904642
مقهى أبو هيثم,26.437816,50.013521,Café,5.8,0.9832888296439488
البشيري,26.421223,50.030949,Coffee Shop,,0.7229282540471678
لقيمات ذوق,26.421971,50.026664,Café,,0.263607080342624
ستاربكس,26.423894,50.017174,Coffee Shop,,0.9921267597407728
Cup And Dessert,26.418901,50.018957,Café,,0.9996501800061306
الديوانية المخملية,26.438959,50.054984,Coffee Shop,,0.5989393986473189
بيت سعود بن نايف للقهوه العربيه,26.416855,50.020909,Café,,0.8203917181949062
مقهى وديوانية الركن المديني,26.42157,50.01498,Café,,0.997549911253472
7Up COffee,26.472272,50.086213,Café,8.2,0.97831153093248
Back Team Coffee,26.454762,50.105609,Coffee Shop,,0.9653647370765104
Ben’s Cookies,26.458233,50.092459,Coffee Shop,,0.96445328278905
Paradise Café (بارادايز كافيه),26.472918,50.086161,Café,6.2,0.9577934520295394
حكايات,26.459292,50.09079,Café,,0.2037514629877057
Griffiths | Café,26.454715,50.096413,Coffee Shop,,0.9302633895742058
All Day (اول دي),26.404895,50.102219,Café,9.4,0.991745124237434
Onda (اوندا),26.40564,50.101155,Coffee Shop,8.8,0.97646790748739
Starbucks (ستاربكس),26.399071,50.104867,Coffee Shop,9.0,0.988544676796238
Bitten (بيتن),26.400442,50.096558,Coffee Shop,8.7,0.9888036126733576
UMQ Coffee (قهوة عُمق),26.397581,50.092256,Coffee Shop,9.6,0.9996374897720328
Pages Coffee,26.400216,50.0973,Coffee Shop,8.5,0.9913929714445516
Otten (اوتن),26.391985,50.104063,Coffee Shop,9.5,0.9999896425649152
Coffee Warehouse (مستودع القهوة),26.39495,50.104782,Coffee Shop,8.9,0.989425058778444
Karak Albait (كرك البيت),26.392967,50.09158,Café,9.0,0.956975214657842
Chart (تشارت),26.384994,50.100857,Coffee Shop,9.4,0.997876725807621
Coach Cup (كوتش كب),26.395831,50.089747,Café,8.2,0.95684056800174
Dunkin' Donuts (دانكن دونتس),26.403195,50.077633,Coffee Shop,8.0,0.9707609607556784
Time Out Cafe,26.403023,50.105907,Coffee Shop,6.9,0.9479124589586636
30Days Cafe,26.414911,50.108156,Coffee Shop,,0.942713026546106
Barn’s (بارنز),26.412571,50.110463,Coffee Shop,,0.9758671762524728
Joffrey's (جوفريز),26.406669,50.107963,Coffee Shop,,0.9190255725072244
Road Café (قهوة الطريق),26.416832,50.109514,Coffee Shop,,0.9434173321318708
Cherry Coffee,26.378167,50.148073,Coffee Shop,8.0,0.9023708168909051
Tim Hortons,26.370732,50.174518,Coffee Shop,8.0,0.912583247884494
Starbucks (ستاربكس),26.3612,50.160909,Coffee Shop,7.6,0.9250950294669028
Paul,26.37856,50.170423,Coffee Shop,7.5,0.8875803995898456
كوستا كوفي,26.371093,50.17491,Coffee Shop,6.8,0.8725828335870905
Mix & Match,26.3782,50.148084,Coffee Shop,,0.9506778941262986
Coffee Mania,26.379695,50.148952,Café,,0.8752757667091321
ستاربكس,26.380989,50.148114,Coffee Shop,,0.76205864379745
