Business ID,POI Name,POI Latitude,POI Longitude,Category,Rating,Popularity
827,KUDU (كودو),26.376004,50.189275,Fast Food Restaurant,6,0.9300044536970864
828,هرفي,26.379331,50.205411,Fast Food Restaurant,,0.063177119
829,Wabel,26.379534,50.182086,Burger Joint,,0.4706522076872883
830,Burger Nook (زاوية البرجر),26.373285,50.190993,Sandwich Spot,,0.925271106
831,Novotel Restaurant,26.40754,50.138548,Middle Eastern Restaurant,6.5,0.8842453054925479
832,Al Amana Restaurant,26.410502,50.155978,Restaurant,,0.040953298
833,Kandy Restauarant,26.417191,50.160662,Sri Lankan Restaurant,,0.5540192026846472
834,مطعم الخيمه الفضيه,26.418083,50.161019,Restaurant,,0.5574785860029622
835,مندي الخيمه,26.418221,50.16116,Middle Eastern Restaurant,,0.7778640897368175
836,AFC Broasted Chicken,26.418497,50.159077,Diner,,0.5241380024650696
837,Hazara Pakistani Hotel,26.416139,50.148169,Pakistani Restaurant,,0.8243689732674601
838,Sayyad Restaurant (مطعم صياد البحار),26.351097,50.093964,Restaurant,8.2,0.9962195361940568
839,درب السمج,26.354445,50.077135,Seafood Restaurant,8,0.9518897140312174
840,Chicken Firrie,26.365682,50.074701,Fried Chicken Joint,8.1,0.9545930045883436
841,Alroshanah (الروشنّة),26.363851,50.073941,Middle Eastern Restaurant,8.1,0.9569130700473336
842,BRIO Sandwiches,26.371607,50.089702,Sandwich Spot,7.7,0.9114439300251684
843,Al-Midra Dining Hall,26.328832,50.109262,Bar,7.6,0.999643462
844,maestro shawarma sandwich (مايسترو شاورما ساندويتش),26.363111,50.072717,Shawarma Restaurant,7.5,0.9647018612310848
845,The Hut Burger,26.371607,50.089702,Burger Joint,7.2,0.6519901811515396
846,Slice of Heaven,26.334659,50.121323,Pizzeria,7.1,0.9243700090109686
847,Manoosha Station (منؤشة ستيشن),26.363456,50.073425,Restaurant,6.8,0.9459652611627256
848,Shawayit Sama AlKhaleej,26.353628,50.097403,Middle Eastern Restaurant,,0.9785911816797688
