Business ID,District,City,Latitude,Longitude,POI Name,POI Latitude,POI Longitude,Category,Rating,Popularity,Business Type
112,Al Fanar Dist.,Dammam,26.4049851,50.1959908,Meeting Restaurant,26.393292,50.191055,Falafel Restaurant,,0.5213459798885315,Restaurant
113,Al Fanar Dist.,Dammam,26.4049851,50.1959908,حارة J,26.399875,50.209174,Japanese Curry Restaurant,,0.9833965292084808,Restaurant
114,Al Fanar Dist.,Dammam,26.4049851,50.1959908,بدون زيت,26.413856,50.206804,Pizzeria,,0.5420514247606439,Restaurant
115,Al Fanar Dist.,Dammam,26.4049851,50.1959908,Kudu (كودو),26.404981,50.180362,Fast Food Restaurant,,0.4314817889885084,Restaurant
116,Al Fanar Dist.,Dammam,26.4049851,50.1959908,Kono Pizza (كونو بيتزا),26.406595,50.180352,Pizzeria,,0.2746534342787711,Restaurant
117,Al Fanar Dist.,Dammam,26.4049851,50.1959908,فوال ازهار البترومين,26.411267,50.180542,Afghan Restaurant,,0.9966828177840178,Restaurant
118,Al Fanar Dist.,Dammam,26.4049851,50.1959908,UOD Restaurant,26.391906,50.185629,Diner,,0.711372369081216,Restaurant
119,Al Fanar Dist.,Dammam,26.4049851,50.1959908,بوفيّة النورس,26.40873,50.178432,Buffet,,0.9864041260741484,Restaurant
120,Al Fanar Dist.,Dammam,26.4049851,50.1959908,Hardee's (هارديز),26.390891,50.183887,Burger Joint,,0.9742776437259214,Restaurant
121,Al Fanar Dist.,Dammam,26.4049851,50.1959908,Chuau Cafe | University Of Dammam,26.386898,50.188717,American Restaurant,,0.3111203235974912,Restaurant
122,Al Fanar Dist.,Dammam,26.4049851,50.1959908,صب واي,26.386651,50.185947,Deli,,0.7806785403400655,Restaurant
123,Al Fanar Dist.,Dammam,26.4049851,50.1959908,I Wish Burger,26.400248,50.173287,Burger Joint,,0.7549948730696331,Restaurant
124,Al Fanar Dist.,Dammam,26.4049851,50.1959908,2Q Burger,26.412265,50.173881,Burger Joint,,0.3949082849123243,Restaurant
125,Al Fanar Dist.,Dammam,26.4049851,50.1959908,Dirwazat Albait,26.414,50.174454,Restaurant,,0.774611855120198,Restaurant
126,Al Fanar Dist.,Dammam,26.4049851,50.1959908,Q2 Food Truck,26.41258,50.173697,Burger Joint,,0.5891412650571213,Restaurant
127,Al Fanar Dist.,Dammam,26.4049851,50.1959908,Rawabi Al Sham (روابي الشام),26.384976,50.185973,Syrian Restaurant,,0.508622670936476,Restaurant
