POI Name,POI Latitude,POI Longitude,Category,Rating,Popularity,Matched Population,Population Within 1km
مقهى زمن الطيبين,26.4462,50.10446,Café,,0.9534536867290184,704.0,70640
Starbucks (ستاربكس),26.411037,50.109414,Coffee Shop,9.2,0.9986846057442336,160.0,21421
شغف,26.406726,50.103451,Coffee Shop,8.2,0.9665765569814292,247.0,13480
صبا كافيه,26.421007,50.097969,Coffee Shop,,0.9407554713150836,1041.0,49720
Habits (هابيتس),26.452591,50.124033,Coffee Shop,9.0,0.9546344343286828,645.0,29119
Troy (تروي),26.452454,50.124545,Café,9.0,0.9916208350164164,645.0,27428
Marsa Café,26.460289,50.112737,Café,8.5,0.9743032035546716,285.0,15967
Tim Hortons (تيم هورتنز),26.459142,50.121581,Coffee Shop,8.8,0.991134035567432,623.0,20959
Ratio Speciality Coffee (ريشيو للقهوة المختصة),26.452074,50.130308,Coffee Shop,9.2,0.9975142155796538,513.0,16765
017 Cafe,26.451996,50.130228,Coffee Shop,9.1,0.9976695771059256,513.0,16765
Cereza Cafe & Roastery (مقهى ومحمصة سيريزا),26.464125,50.122635,Café,9.0,0.9341267128608272,448.0,13178
Coffee Address (عنوان القهوة),26.463766,50.121752,Coffee Shop,8.9,0.9958259536608356,448.0,14101
Dose (دوز),26.457896,50.120312,Coffee Shop,8.4,0.9737542594951786,,23144
Park Coffee,26.451734,50.127202,Coffee Shop,8.4,0.972811732902464,808.0,23218
Butlers Chocolate Cafe,26.461372,50.121171,Café,8.3,0.9433966172617012,623.0,16938
Scarface,26.454049,50.120242,Coffee Shop,7.9,0.9734228215724658,75.0,33889
View Cafe,26.451949,50.126317,Café,8.0,0.9710509689380522,701.0,23218
Icons Coffee Couture,26.451596,50.127771,Coffee Shop,8.0,0.9775761530414608,808.0,22061
ستاربكس,26.464957,50.091795,Coffee Shop,7.8,0.9753700193684036,1253.0,32532
ستاربكس,26.440571,50.127659,Coffee Shop,7.4,0.9717656319589016,842.0,34845
Spar Cafe,26.460941,50.121048,Café,6.5,0.9186319899740027,623.0,18609
بكلو,26.408554,50.059054,Café,8.6,0.9811805404509628,683.0,22064
Coffee Valley,26.409276,50.058686,Coffee Shop,7.7,0.9973381391832128,683.0,23453
Noimi91 Coffee,26.421905,50.025553,Café,,0.0380327575147612,1815.0,53306
ACE (ايس),26.467515,50.059517,Coffee Shop,8.7,0.9618949963231106,,3385
Tim Hortons (تيم هورتنز),26.468223,50.060633,Coffee Shop,8.7,0.922132803032657,,3385
18/11 (١٨/١١),26.467816,50.059567,Coffee Shop,7.1,0.4548467617479207,,3385
Derby Coffee (دربي كافية),26.464688,50.084722,Coffee Shop,6.4,0.6109643807807434,2065.0,34494
شاي عزوز,26.462051,50.061742,Café,,0.9791919129146858,,12265
زيرو زون كافيه,26.463256,50.062361,Café,,0.7316077846482097,,12144
Coffee Valley (وادي القهوه),26.462855,50.061874,Café,,0.8904286942381588,,12265
كوفي شوب الجوكر,26.463795,50.063225,Coffee Shop,,0.8934634227179982,,12144
Night Cafe,26.468101,50.121206,Café,8.7,0.9341992149064204,508.0,11841
Drinks Aroma (نكهة المشروب),26.467662,50.123004,Coffee Shop,8.6,0.9604553128463268,531.0,12078
W Cafe,26.481548,50.126741,Coffee Shop,8.7,0.9456856104154368,640.0,10413
Starbucks (ستاربكس),26.479495,50.13308,Coffee Shop,9.4,0.9983013806460967,407.0,8202
Crafter (كرافتر),26.468162,50.123622,Coffee Shop,8.4,0.9868978446177588,172.0,12581
قهوة أبو حيان,26.463514,50.132736,Coffee Shop,9.1,0.9935473179421848,262.0,10384
1/2 M (هاف مليون),26.490092,50.133491,Coffee Shop,9.2,0.9998549959088132,625.0,5735
Estikanah Zaman (استكانة زمان),26.493727,50.124478,Café,8.8,0.998104340060866,700.0,5019
Al Fishawi Cafe (مقهى الفيشاوي),26.476194,50.11821,Café,7.5,0.9877367968596256,72.0,7315
7 Grams | ٧ جرام (٧ جرام للقهوة المختصة),26.451182,50.131134,Coffee Shop,9.2,0.9967063356430412,273.0,17692
24 Cafe,26.451228,50.130944,Coffee Shop,8.3,0.9795854954479072,273.0,17692
ستاربكس,26.457594,50.132462,Coffee Shop,7.7,0.9260789857999564,230.0,10576
